BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
5468684,1524145611,0,1,0,0,1,38,1508,18,2,123,1132,1324,26,0
15450240,1524145611,0.510249813,1,1,1,1,56,2617,88,1,73,1452,2518,52,1
5468684,1524145611,0,0,0,0,1,43,1350,76,2,87,1485,3861,23,0
6313699,1524145611,0,0,0,0,1,40,843,71,3,104,1797,6454,27,0
5944946,1524145611,0.016383032,1,0,0,1,60,857,65,1,73,1378,2323,32,0
5884048,1524145611,0.002808801,1,0,0,0,60,1822,66,2,63,1625,1270,0,0
5974383,1524583290,0,0,0,0,1,47,1055,75,2,136,1736,3902,0,0
15450240,1634394082,0.540538702,1,1,0,0,119,1643,74,3,162,2094,2463,57,1
14987415,1651396462,0,1,0,0,1,84,2496,64,1,90,1478,5415,53,1
14879778,1642304734,0.530615741,1,1,1,1,105,1449,78,1,51,1777,5534,0,1
15450240,1651635844,0.500751083,1,1,1,1,41,1669,47,1,59,1461,5412,57,1
5468684,1524145611,0,0,0,0,1,40,1443,46,2,104,1537,5728,0,0
15423368,1647689949,0.400980216,1,1,1,1,94,2813,33,1,107,2003,5482,57,1
5517689,1647208075,0.531303626,1,0,1,1,37,1506,43,1,112,1588,2844,26,1
15450240,1651925031,0.463626019,1,1,1,1,30,1525,81,1,98,1498,4070,55,1
5468684,1524145611,0,1,0,0,1,78,903,52,2,96,1587,3651,0,0
8238324,1524145611,0,0,0,0,1,37,1267,56,1,69,1316,2569,24,1
6178463,1524145611,0,1,1,1,1,40,1848,74,2,81,1682,4615,55,1
6374942,1524145611,0,1,0,0,1,30,654,55,3,48,1412,3683,25,1
15450240,1651563044,0.449894269,1,1,1,1,130,1564,82,1,108,1755,4430,56,1
15450240,1642751258,0,1,0,0,1,64,1789,15,2,59,1261,3095,60,1
5941299,1524145611,0,1,0,0,1,45,1691,31,3,99,1796,2632,26,0
14080807,1656644550,0.427232884,1,1,1,1,63,2474,71,1,44,2029,2350,52,1
14980619,1661999151,0.498624377,1,1,1,1,122,3850,28,1,201,1523,5389,61,1
5468684,1649242099,0,0,0,0,1,41,1048,27,3,77,1629,3290,28,0
6405003,1524145611,0,1,0,0,1,45,1571,38,3,76,1619,2745,25,0
5807673,1524145611,0,1,0,0,0,39,1518,81,2,32,1569,921,0,0
11365732,1526028854,0,1,0,0,1,36,1802,57,3,70,1530,2875,56,0
15450240,1524145611,0,1,1,1,1,43,921,73,1,69,2665,2139,54,0
6184412,1531138822,0.001884666,0,0,0,1,43,1610,47,1,47,1411,1992,61,0
5800940,1526006970,0.026814523,1,0,0,1,39,1408,75,3,94,1469,1441,0,0
15450240,1653129533,0.538654948,1,1,0,1,78,1434,48,2,88,2175,2880,30,1
15450240,1524145611,0.002308863,1,1,1,1,115,2651,40,1,30,929,2707,27,1
6097941,1524145611,0,1,0,0,0,44,1418,32,2,187,1490,2583,26,0
6310123,1524145611,0.012623948,1,0,1,1,45,699,43,3,70,3020,2888,28,0
15246327,1524338250,0,1,1,1,1,51,1012,62,1,60,1633,3489,23,0
15450240,1645711012,0.559636823,1,1,1,1,46,2391,49,1,115,1626,5001,52,1
6292959,1536394471,0.024917562,1,0,0,1,96,1108,50,3,85,1662,2988,27,0
15305077,1644331608,0.599899938,1,0,1,1,98,2446,68,3,32,1527,3159,0,1
5882691,1524145611,0,1,0,0,0,51,1245,82,1,59,1508,2598,26,0
15450240,1649511268,0.512322562,1,1,1,1,45,1059,81,1,103,1321,2130,56,1
6088000,1524145611,0,1,0,0,0,42,1512,54,2,30,1743,3442,25,0
5696442,1559150194,0,1,0,0,1,50,1952,53,2,81,1636,2620,23,0
15450240,1661999151,0.005909064,1,1,1,1,70,2555,51,1,72,2318,5585,57,1
6273139,1654512718,0,0,0,0,1,31,1026,55,2,84,1198,2117,53,0
15450240,1610165609,0.439152433,1,1,1,1,40,1017,72,1,32,1365,1797,51,1
5500825,1524145611,0,0,0,0,1,77,3104,83,2,82,1522,3299,0,0
15450240,1661999151,0.54657127,1,1,1,1,66,1686,40,1,106,1490,2315,58,1
15040065,1639474932,0.563862877,1,1,1,1,127,1556,70,1,94,1685,1093,53,0
15450240,1661794464,0.510199438,1,1,1,1,82,3850,79,1,122,2327,5407,56,1
15450240,1644315829,0.449051653,1,1,1,1,89,2940,54,1,84,2518,5078,56,1
15371511,1645951743,0.506940313,1,1,1,1,48,1809,40,1,98,1315,4393,50,1
5656284,1524145611,0,0,0,0,1,73,1397,64,1,84,1451,1892,52,0
15450240,1661999151,0.595374358,1,1,1,1,105,3850,74,1,152,3271,6524,51,1
15450240,1528096724,0,1,0,0,1,75,952,81,1,70,1498,3689,56,0
6056040,1524145611,0,1,1,1,1,40,874,52,3,99,1667,1888,25,0
15450240,1661999151,0.51113713,0,0,0,1,46,2338,13,3,231,1480,5764,57,0
15450240,1633861333,0.506705179,1,1,0,1,57,1603,71,2,33,1710,3225,54,1
5883367,1524145611,0,1,0,0,1,43,1025,70,1,93,1449,3212,0,0
15450240,1649753726,0.512160673,1,1,1,1,189,1623,65,1,76,1525,3346,56,1
6571217,1524178868,0,1,0,0,1,39,1552,73,2,78,2636,4594,24,0
6103651,1524145611,0,1,0,0,1,30,1848,64,2,56,1422,2540,53,0
15450240,1661999151,0.566218315,1,1,1,1,60,1400,55,1,99,1753,6148,53,1
5850193,1524145611,0,1,0,0,0,43,1477,61,1,73,1739,2596,25,0
5885170,1524145611,0,1,0,0,1,35,1344,68,2,82,1825,3817,0,0
15450240,1655802876,0.53483629,1,1,1,1,111,2454,35,1,109,2016,4957,54,1
15450240,1655569130,0.502704538,1,1,0,1,115,1043,52,3,105,1532,2766,49,1
15450240,1539001708,0,1,0,0,1,54,1526,12,2,100,1091,3064,26,0
6000181,1661999151,0.018828481,1,1,0,1,39,1919,42,1,177,1625,2371,26,0
5468684,1524145611,0,1,0,0,1,48,1535,42,1,116,2888,2852,0,0
15450240,1661999151,0.407016063,1,1,1,1,30,2668,61,1,91,1723,5475,56,1
15450240,1524145611,0,1,0,0,1,59,1031,28,1,72,2526,3685,53,1
15450240,1639385692,0.580941199,1,1,1,1,66,1682,65,1,120,1290,2143,55,1
15450240,1649067188,0.523904295,1,1,1,1,113,1554,58,1,101,1487,4066,50,1
15450240,1648803573,0.436321296,1,1,1,1,37,2434,84,1,145,2592,2195,55,1
5662992,1528736409,0,0,0,0,1,57,923,61,2,65,1250,2475,27,0
5934392,1524145611,0,1,0,0,1,37,1555,63,2,82,1689,3184,0,0
15450240,1524145611,0.51207347,1,0,1,1,50,1723,57,2,109,2143,3567,4,0
15295400,1527923760,0.44252565,0,0,0,0,45,1505,17,1,109,1704,5090,29,0
5752087,1659557628,0,0,0,0,1,104,786,52,2,90,2105,2126,54,0
15450240,1661999151,0.445507913,1,0,0,1,114,2433,81,3,84,2601,4177,47,1
15450240,1636415575,0,1,0,0,1,74,916,50,1,68,2384,1800,57,1
15130414,1573355555,0.507810463,1,1,1,1,42,2309,52,1,80,855,2499,57,1
15450240,1645299188,0.420512552,1,1,1,1,108,1137,88,1,97,2766,4479,54,1
6250366,1525575449,0,1,0,0,0,41,1461,39,2,41,1600,1329,0,0
5780680,1526690079,0,1,1,0,1,66,1011,39,3,86,1085,2889,31,0
