BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
15450240,1658500061,0.47955725,1,1,1,1,65,2628,57,1,95,1470,5304,53,1
13937987,1524560513,0,1,0,0,0,47,1679,83,1,100,1557,3358,0,0
15450240,1661325196,0.510677728,0,1,0,1,44,954,80,3,68,1113,3005,25,1
14465546,1643812020,0.000821677,1,1,1,1,44,1644,88,3,70,1377,4796,50,0
15450240,1638243380,0.541454238,1,1,1,1,115,2426,70,1,155,2943,4852,54,1
5468684,1524145611,0,1,0,0,0,55,1038,27,2,30,1264,944,3,0
5770628,1524145611,0,0,0,0,1,38,1499,16,1,75,1112,921,24,0
15450240,1661999151,0.474096224,1,1,1,1,103,939,45,1,119,1362,3546,57,0
15450240,1647708347,0.469672431,1,1,1,1,189,1833,68,3,107,3207,5985,55,1
5961275,1554385128,0,1,0,0,1,33,1614,9,1,56,1561,3015,30,0
15450240,1661999151,0.499210722,1,1,1,1,79,2489,43,1,95,2744,6600,59,1
5468684,1524145611,0.000348811,1,0,0,1,41,1017,68,2,78,1382,2391,27,0
5590425,1524145611,0,1,0,0,1,37,1620,55,2,45,1296,1386,30,0
15450240,1526401651,0.529114575,1,1,1,1,75,1328,47,3,65,1289,1883,26,1
15450240,1658613267,0.456301572,1,1,1,1,52,3675,66,3,59,1321,5052,25,1
6330506,1524145611,0.014262724,1,0,0,0,100,965,23,2,36,2909,1622,29,0
6251463,1526904868,0.020350406,1,0,0,0,39,1425,60,2,101,1261,921,30,0
6187223,1524145611,0,1,0,0,1,30,3850,39,1,105,1194,4008,0,0
5468684,1524145611,0,1,0,0,1,38,846,79,2,54,1618,2044,24,0
6442562,1648865399,0,1,0,1,1,30,1508,52,2,96,1482,4758,54,1
5468684,1524145611,0,1,1,1,1,65,837,24,1,98,1521,3399,0,1
5812509,1524906993,0,1,0,0,1,49,1577,59,3,85,1620,6087,22,0
15450240,1652229465,0.446204604,1,1,1,1,95,3850,74,3,94,1611,3984,52,1
15450240,1649476078,0.508150261,1,1,1,1,120,1150,69,1,47,2983,4481,54,1
6438829,1524145611,0,1,0,0,0,48,1691,55,2,92,1594,2472,27,0
6113162,1524145611,0,1,0,0,1,64,892,68,3,125,1596,3967,55,0
5468684,1524145611,0,0,0,0,1,37,1488,56,2,95,1201,2170,27,0
14307261,1529722489,0,0,0,0,1,62,1686,43,2,60,1451,3313,30,0
15450240,1661999151,0.431580215,1,1,1,1,72,2258,80,1,130,3365,7656,54,1
5590022,1524145611,0,1,0,0,1,41,1552,68,2,34,1713,1523,0,0
15386414,1524145611,0.004926304,1,0,0,0,60,1494,72,2,210,1758,5522,31,0
5687925,1524145611,0,1,0,0,0,44,1612,23,2,100,3030,3114,57,0
6009023,1524145611,0,1,0,0,1,38,952,29,2,107,1550,2552,23,0
5668357,1526820436,0.008899964,1,0,0,0,30,998,29,2,94,2547,1785,25,0
15450240,1529069120,0,0,0,0,1,46,918,41,1,79,1570,1669,24,0
15450240,1524145611,0.50471035,1,1,1,1,33,2589,56,3,103,2799,5001,0,1
5720890,1524868590,0.546086905,1,1,1,1,46,2500,79,2,191,2427,4674,54,1
5754273,1524145611,0,1,0,0,0,59,1657,40,2,33,1550,974,23,0
5521141,1524145611,0,1,0,0,1,38,2331,60,2,57,2251,2022,28,0
5469099,1524145611,0,1,0,0,1,47,1133,57,2,37,1371,2867,27,0
15450240,1661999151,0.505656832,1,1,1,1,53,2572,34,3,54,1289,2773,24,1
6336445,1531156480,0,1,0,0,1,33,1630,59,1,30,1411,2745,25,0
6252758,1525198073,0,1,0,0,1,42,1494,57,2,107,1551,2596,26,0
5719601,1524145611,0.010499525,1,1,0,1,35,1698,71,2,69,1215,1558,29,0
15450240,1661999151,0,1,0,0,1,38,2271,81,3,109,1532,5938,57,0
6149450,1524145611,0,1,0,1,1,63,1054,67,1,89,1383,3052,30,1
15450240,1636703278,0.420338573,1,1,1,1,46,1627,71,1,73,2596,4111,58,1
5853517,1661999151,0,1,0,0,1,107,1678,62,1,96,2721,4479,24,0
15172490,1651927098,0.52755611,1,1,1,1,95,3242,67,1,80,1318,5134,51,1
5706782,1524145611,0,1,1,0,1,65,2281,36,2,73,2388,1768,26,0
6276235,1525019851,0,1,0,0,1,52,1079,33,2,88,1465,1165,0,0
