BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
5689460,1524145611,0,1,0,0,1,65,1685,90,2,46,1700,3177,24,0
15450240,1525591677,0.473938645,1,1,1,0,89,1068,54,2,130,1231,3623,50,1
6066119,1524145611,0.527414457,1,1,1,0,44,1035,67,1,99,1556,5189,53,0
15450240,1661999151,0.536843466,0,0,1,1,42,1032,56,1,114,2361,3023,29,1
15450240,1661999151,0.452248708,1,1,1,1,109,1616,47,1,92,1596,4072,55,1
15450240,1639042697,0,1,0,1,0,44,1566,46,3,105,1545,1739,64,0
15143784,1661999151,0.412270283,0,0,0,1,66,1336,62,3,81,1413,3637,50,0
6193687,1524145611,0.007436546,1,0,0,0,44,919,55,2,90,1472,3399,26,0
6383959,1524145611,0,1,0,0,1,47,978,73,2,88,1422,3600,0,1
12318261,1524145611,0,1,1,0,1,38,1323,62,2,126,1430,2901,50,0
5678744,1524145611,0,1,0,0,1,46,1703,20,3,107,1670,5277,0,0
15450240,1653410316,0.4619,1,1,1,1,129,1425,53,1,145,1688,6461,53,1
15450240,1661999151,0.524725446,1,1,1,1,114,1821,44,1,101,1352,3425,54,1
15450240,1613083428,0.0115323,1,1,1,1,46,3850,60,1,70,1458,5904,62,1
5993573,1528050981,0,1,0,0,1,42,1552,75,1,66,1037,1738,21,0
5468684,1524145611,0.00123613,1,0,0,0,30,1536,50,2,102,1787,3596,32,0
6560555,1524145611,0.005596668,1,0,0,1,30,952,51,1,56,1443,2838,0,0
15450240,1528264677,0,1,0,0,1,66,1397,25,2,55,1556,3785,0,0
15450240,1650737590,0.507392248,1,0,0,1,116,1491,37,1,94,1444,3000,27,1
15450240,1650245605,0.430657994,1,1,1,1,96,2317,86,1,105,3146,6543,57,1
15450240,1524145611,0.4914551,1,1,0,1,71,1601,76,1,37,1395,2918,24,0
5468684,1609039677,0,1,1,0,1,49,3850,22,1,98,1272,1986,55,0
15450240,1648982182,0.459056912,1,1,1,1,65,1956,60,1,175,2623,1126,56,1
15450240,1653542237,0.520266966,1,0,1,1,66,2932,65,1,107,2418,6365,64,1
