BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
15450240,1524145611,0.439348874,1,1,1,1,33,904,64,2,53,1443,3360,53,1
15450240,1658527783,0.441289625,1,1,1,1,180,1532,70,1,90,1411,4527,54,1
5697004,1531014419,0,0,0,0,1,35,1670,36,2,86,1499,1745,27,0
5657397,1524145611,0,1,0,0,0,45,1027,66,3,110,1531,2314,26,0
6115356,1531117061,0,1,0,0,1,30,1282,71,2,38,1333,2091,25,0
5973838,1524145611,0.020663847,0,0,0,1,30,1755,60,2,65,1322,921,0,0
5617095,1524145611,0,0,0,0,1,43,900,58,2,88,1500,2903,52,0
6719745,1524145611,0.00227423,1,0,0,0,74,1084,81,1,114,2894,4344,1,0
5984920,1524145611,0,1,0,0,0,35,1521,89,2,104,1365,3924,58,0
15450240,1653258758,0.495601991,1,1,1,1,189,1742,79,1,77,3015,5533,50,1
15450240,1655279358,0.433438863,1,1,1,1,116,2867,54,1,103,1800,6363,58,1
5932066,1524145611,0,0,1,1,1,43,1667,62,1,92,3152,2878,52,1
5921945,1653558180,0,0,0,0,1,62,2152,51,3,96,1620,2388,27,0
6706003,1524287982,0.033814956,1,0,0,1,42,1647,51,3,113,1150,1446,55,0
15431792,1641108252,0.552628774,1,1,1,1,68,1747,64,1,93,1348,3182,56,0
5956085,1524145611,0,1,0,0,1,38,2415,54,1,91,1580,2400,0,0
15450240,1661999151,0.492306076,1,1,1,1,116,1669,31,3,109,1676,5045,28,1
15450240,1652330732,0.523215555,1,1,1,1,36,2711,65,3,294,1282,4881,51,1
6034237,1524145611,0,1,0,0,1,30,995,85,2,61,1265,3272,24,0
5569878,1532276990,0.026341082,1,0,0,1,46,2667,49,1,95,2035,2094,0,0
5468684,1526287257,0,1,1,0,1,41,1582,77,2,81,1354,2983,0,1
15450240,1570308086,0,1,0,0,1,105,1420,60,1,171,1463,2439,30,1
5861682,1524145611,0,1,0,0,1,98,910,39,2,57,1506,2761,26,0
15450240,1660045637,0,1,1,1,1,44,2769,68,2,112,2841,5619,58,1
15450240,1524145611,0.476776782,0,0,0,1,53,780,70,1,92,3135,5213,51,0
5695844,1525643438,0,1,0,0,1,131,1812,61,2,37,1835,2822,0,0
6000804,1528781236,0,0,0,0,1,60,1697,60,1,70,1516,2619,25,0
15001912,1645316416,0,1,1,1,1,69,1616,47,2,50,1662,5290,23,0
6277828,1524145611,0,1,0,1,1,102,2796,61,1,40,1583,2098,25,0
6432865,1610622151,0.498829782,1,1,0,1,42,1650,52,2,125,1285,2458,0,0
5796607,1526262513,0,1,0,1,1,36,1450,39,1,106,1771,2844,57,0
5468684,1524145611,0,0,0,0,1,55,1312,64,3,34,1281,1315,0,0
15450240,1661999151,0,1,1,1,1,101,1605,33,2,94,1723,2522,55,0
5674886,1524145611,0,1,1,0,1,68,1565,22,2,94,1518,2818,29,0
5589256,1524145611,0,1,0,0,1,64,929,60,2,98,1612,2305,26,0
15450240,1524966310,0,0,0,0,1,74,953,61,1,113,1567,2939,25,0
12983241,1524145611,0,1,0,0,1,105,1613,75,3,119,2785,5180,53,0
5907893,1524145611,0,0,0,0,1,40,1298,58,2,79,1510,1519,0,0
15236238,1646988220,0.54266582,1,1,1,1,130,2344,36,1,92,2885,5843,51,1
15450240,1524945835,0,1,0,1,1,30,1714,73,2,67,1422,2522,25,1
5603100,1524145611,0,1,0,0,0,40,979,58,2,49,1562,921,0,0
15450240,1524145611,0.513154562,1,1,1,1,37,1175,56,1,68,1274,3375,32,1
15450240,1649223767,0.436078802,1,1,1,1,59,920,48,1,64,1239,3939,50,1
15450240,1661999151,0.51683005,1,1,1,1,37,2956,54,1,152,1392,5330,59,1
15266294,1653225572,0.418288793,1,1,1,1,72,3293,78,1,97,1369,3699,58,1
5552579,1528809640,0,1,0,0,1,107,1695,52,2,71,1446,1553,0,0
6021436,1524804014,0,1,0,0,0,42,1659,50,2,35,1848,971,0,0
11510944,1524145611,0,0,0,0,1,31,1151,51,1,54,1326,1223,30,0
5573687,1525978811,0,1,0,0,1,58,890,43,2,96,1501,1494,0,0
6120015,1524145611,0,1,0,0,1,53,1376,87,2,91,1273,2615,0,0
15450240,1642820943,0.570669375,1,0,1,1,88,1385,44,1,104,1818,5952,26,1
15450240,1532060472,0.018510454,1,0,0,1,63,980,70,2,98,2812,3426,55,1
15450240,1652302375,0.468177442,1,1,1,1,78,2722,44,1,52,2873,5349,53,1
6068391,1524145611,0,1,0,1,1,60,1369,92,1,72,1626,4544,26,0
15450240,1654002551,0.525386704,1,1,1,1,148,2330,74,3,166,1636,5509,56,1
6435539,1524454906,0.006466319,1,1,0,1,36,1750,82,3,94,1662,3325,56,0
5829249,1524145611,0,0,0,0,1,66,3792,12,1,80,1707,2178,0,0
15450240,1654667902,0.506462152,1,0,1,1,101,2773,74,1,52,2156,2156,0,1
5598490,1524145611,0,1,0,0,0,67,1495,81,2,107,1419,921,23,0
5753832,1527366555,0,1,0,0,1,36,821,57,2,107,1501,2272,27,0
14539825,1654683297,0,1,0,1,1,39,1333,59,1,81,1624,2941,52,1
15450240,1656896444,0.427159959,1,1,1,1,105,1486,78,3,77,1522,5658,59,0
5968729,1524145611,0,1,0,0,0,66,1374,86,2,69,1790,2605,28,0
6224268,1524145611,0,1,0,0,1,30,1674,78,2,63,1248,1866,0,1
5526519,1617655057,0,0,0,0,1,62,1394,53,2,40,1621,3034,26,0
15055853,1646389824,0.527276993,1,1,1,1,118,1481,74,1,30,1609,4960,50,1
14569299,1650995532,0.476461087,1,1,1,1,157,3062,51,1,82,1489,4742,60,1
15450240,1661999151,0.505534586,1,0,1,1,47,3069,2,1,76,2369,4055,56,1
15450240,1531143383,0,1,1,1,1,183,1362,90,1,126,1575,2057,56,1
5548625,1528814981,0,1,0,0,1,30,1699,85,2,30,1336,2319,26,0
15450240,1661999151,0.432695183,1,1,1,1,71,866,49,1,78,2850,5322,53,1
15450240,1659047543,0.476414027,1,1,1,1,108,1991,81,1,83,2740,5056,53,1
14608734,1524145611,0.449991331,1,0,1,1,31,956,78,1,79,921,2074,54,1
6058721,1524145611,0,1,0,0,1,35,3850,62,3,75,1428,2416,0,0
5468684,1525249701,0,0,0,0,1,40,1355,48,2,76,1397,1554,0,0
6370184,1524145611,0,1,0,0,1,49,1376,32,2,93,1915,2150,0,0
5773645,1529169673,0,1,0,0,1,48,2056,59,3,108,1341,1795,26,0
15450240,1526887517,0.531326417,1,1,1,1,66,879,31,2,95,1602,3499,57,0
6184093,1524145611,0,1,0,0,1,61,1675,48,2,89,1539,3427,27,0
15272337,1531696706,0.489345761,1,1,1,1,104,3092,81,1,104,2315,5374,53,1
15405295,1658637266,0.468596894,1,0,1,1,58,833,56,1,82,2816,3821,62,0
5708221,1524145611,0,0,0,0,1,83,920,46,1,66,1586,3005,30,0
15450240,1587381358,0.501664416,0,1,0,1,30,3142,63,3,83,1447,3497,57,1
6174234,1524145611,0.01699115,0,0,0,1,51,1631,85,2,58,1540,975,0,0
5468684,1525452892,0,1,0,0,1,41,1680,49,2,56,1192,3952,24,0
15138903,1524145611,0.474389424,1,1,1,1,101,1158,59,1,41,1595,4108,58,1
15450240,1661999151,0.484015567,1,1,1,1,59,1683,39,3,110,1651,6558,0,1
6639622,1524145611,0.007948847,1,0,0,0,93,1181,74,1,116,1720,1969,32,0
5536402,1539388022,0.008303904,1,1,1,1,36,948,74,1,100,1337,2576,57,1
5468684,1524145611,0.006503591,0,0,0,1,45,794,44,1,205,1485,1381,28,0
15450240,1524145611,0.039130773,1,0,0,0,63,1450,76,3,71,2464,3265,26,0
15450240,1647121121,0.462530463,1,1,1,1,45,2823,76,1,79,1307,2902,59,1
5831008,1526640973,0.006276647,1,0,0,0,46,1483,75,2,152,1117,1681,25,0
6191363,1524145611,0,1,0,0,1,67,1347,72,1,112,1655,2311,22,0
5965814,1657388582,0,1,0,0,1,45,828,35,1,108,2588,2723,30,1
6419580,1524145611,0.030001697,1,0,0,0,60,2579,81,2,51,1626,3274,0,0
13090209,1645002165,0,1,0,0,0,39,1730,30,1,91,2771,2079,0,0
15196192,1660813698,0.534897037,1,1,1,1,101,934,22,1,55,1453,2341,55,1
15450240,1643607228,0.469439402,1,1,1,1,47,1187,59,1,30,2496,3788,22,1
