BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
6494074,1524145611,0,1,0,0,1,49,3635,44,1,97,1948,3472,29,1
15450240,1529404255,0.536334042,1,1,1,1,30,1686,68,2,70,2667,4683,28,1
13301164,1524145611,0,1,0,0,0,42,1201,55,2,90,1631,3145,23,1
5723880,1524145611,0,0,0,0,1,45,1228,61,2,81,1647,3358,0,0
15450240,1661128827,0.443861397,1,1,1,1,75,983,48,1,78,2448,3481,54,1
5468684,1524145611,0,0,0,0,1,45,1587,59,3,48,1628,3799,28,0
15450240,1652038193,0.438748519,1,1,1,1,61,3829,70,2,91,1294,2569,22,1
6144831,1525260690,0,1,0,1,1,41,1452,42,2,43,1659,2007,0,0
5761948,1524145611,0.011065882,1,0,0,0,44,1000,76,2,105,1397,921,26,0
6306431,1524145611,0.022746485,1,0,0,1,36,917,77,2,71,1808,3505,23,0
5926255,1528988818,0,1,0,0,1,36,1401,59,2,80,1674,3154,23,0
15328104,1661999151,0.405483084,1,1,1,1,88,2707,34,3,67,1261,3028,60,1
5765012,1641504585,0.535012633,1,1,1,1,48,1582,61,2,114,3350,3788,53,1
5468684,1524145611,0,1,0,0,0,113,874,29,1,87,1450,1978,1,0
5927443,1524145611,0,1,0,0,1,103,1515,69,2,53,1386,1061,0,0
5679357,1524145611,0,1,0,0,1,45,1148,65,2,84,1575,3543,0,0
15450240,1524145611,0,0,0,0,1,41,1785,65,1,81,1603,4606,0,0
5858935,1524145611,0,1,0,0,1,50,1531,57,2,125,1392,3152,59,0
15450240,1652051478,0.4613696,1,1,1,1,40,1115,71,1,110,2454,6530,58,1
15450240,1661999151,0.474730843,1,0,1,1,102,1058,67,1,103,2763,5590,59,1
5974792,1524145611,0,0,0,1,1,64,1580,37,2,73,2255,5054,25,0
15450240,1649455498,0.501794708,1,1,1,1,185,916,81,1,97,1451,5119,53,1
15450240,1660025756,0.497228692,1,1,1,1,189,3850,50,1,55,1496,4644,59,1
15450240,1642442849,0.500440069,1,1,1,1,189,2851,80,1,125,2439,4350,59,1
15450240,1651938415,0.534936897,1,1,1,1,115,2726,40,3,211,1066,2843,62,1
15450240,1648358971,0.444059594,1,1,1,1,35,1163,73,1,67,1481,3427,51,1
15045455,1638017332,0.418003574,1,1,1,1,30,1510,22,1,115,2350,4164,48,1
15450240,1659130114,0.461620096,1,0,0,1,129,2697,59,1,113,3023,4914,59,0
15450240,1651768458,0.527919327,1,1,1,0,34,2999,80,2,87,2077,6351,51,1
15450240,1645220085,0.569011139,1,0,1,0,114,1463,12,2,70,1566,3621,55,0
15450240,1648099147,0.537617087,1,1,1,1,88,3087,55,1,259,2854,3328,55,1
15450240,1608415027,0.004101812,1,0,0,1,43,2330,70,1,73,1633,3179,26,1
15450240,1643760346,0.472183907,1,1,1,1,45,2278,87,1,95,2059,4259,52,1
6540444,1524145611,0,1,0,0,1,68,1108,39,2,128,1539,2704,24,0
5558863,1633860054,0,1,1,0,1,47,2298,53,1,74,1757,4599,51,0
6148058,1576291931,0,1,0,0,0,58,1305,72,2,74,1481,3198,26,0
6086344,1528786451,0,0,0,0,0,30,1512,76,2,79,1380,2273,26,0
15262171,1642480707,0.044170954,1,0,1,1,118,1550,24,1,50,1524,2161,56,0
