BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
5947124,1529227031,0.005713465,0,0,0,1,45,956,85,1,51,1696,2315,26,0
15450240,1653910166,0.473106995,1,1,1,1,168,3850,63,2,120,1766,5803,54,1
6279831,1524145611,0.023159414,0,0,0,1,63,764,24,2,67,1702,1734,0,0
5631214,1524145611,0,1,0,0,1,47,1079,34,1,109,1554,3142,0,0
5468684,1524145611,0.003232447,1,0,0,1,68,845,84,2,92,1416,3591,30,0
15450240,1650872262,0.414151654,1,1,1,1,41,3733,83,1,94,2303,4039,56,1
15034014,1661999151,0.55903092,1,1,1,1,97,2288,78,1,53,1440,4752,24,1
15450240,1633765873,0.498401249,1,1,1,1,122,2904,89,1,190,1963,3032,54,1
5868806,1524145611,0,1,1,1,1,43,783,64,1,123,1738,5829,56,1
15450240,1649375782,0.451322927,1,1,1,1,63,1453,418,2,89,1458,3186,56,1
15450240,1654590911,0.449737822,1,1,1,1,69,2435,49,2,103,1633,2741,27,1
5822925,1571171475,0,1,0,0,1,37,642,35,2,109,1304,2827,0,0
15450240,1658207936,0,1,1,1,1,38,2765,63,3,74,2273,3282,25,1
15450240,1661999151,0.559992444,1,1,1,1,105,2175,52,1,84,1450,3786,30,1
15450240,1647106590,0.448673371,1,1,1,1,105,1637,73,1,62,2739,6170,51,1
15450240,1650683081,0.49959887,1,1,1,1,106,2785,53,3,108,1353,4868,58,1
15450240,1650351124,0.46107743,1,1,1,1,42,1575,61,1,294,1591,6992,56,1
5645543,1524145611,0,1,0,0,1,47,1738,36,2,37,1545,2824,29,0
14845065,1651671640,0,1,1,1,1,68,2226,92,3,109,2184,4221,52,1
5543687,1524145611,0,0,0,0,1,121,1504,74,2,45,1336,3975,0,0
5867137,1524145611,0,1,0,0,0,32,996,79,3,58,1230,2444,24,0
14605957,1524145611,0.007656075,1,0,0,0,46,1482,55,2,84,1581,3578,26,0
5468684,1524145611,0.00257125,1,0,0,1,122,877,79,2,81,1530,3711,52,0
15450240,1649118493,0.453584108,1,1,1,1,114,2845,69,3,109,2675,5388,55,1
13299519,1533713259,0,1,0,1,1,42,966,47,1,93,1340,1074,26,0
15450240,1659315909,0.501362621,1,0,0,0,98,1510,64,1,67,1642,3945,55,0
15313445,1661999151,0.525191874,1,1,1,1,48,1328,60,1,86,2292,4281,55,1
15450240,1652266128,0.545704365,1,1,1,1,110,1694,74,2,274,2624,5147,55,1
5952272,1649211141,0,1,0,1,1,40,1330,42,1,85,1802,3554,28,0
5468684,1559886285,0.476428921,0,0,0,1,39,1049,52,3,94,1400,2346,28,0
11773734,1524145611,0,0,0,0,1,66,1484,52,3,60,1525,4524,56,0
12245750,1529659066,0,1,0,0,1,74,1005,51,1,96,1646,3204,26,1
15450240,1655616981,0.536116184,1,1,1,1,66,782,74,2,84,1611,3815,53,1
15377195,1524145611,0,0,0,0,1,95,3634,57,3,101,1406,1910,60,0
6410232,1531197213,0,1,0,0,0,30,1271,34,2,98,1628,2636,24,0
15450240,1652986933,0,1,1,0,1,64,2528,60,1,79,1436,2747,55,1
15450240,1524145611,0.526132789,1,1,1,1,121,2065,50,2,94,1667,1857,48,1
5961673,1530241238,0,1,0,0,1,47,1433,58,2,109,1517,3176,53,0
15450240,1570737383,0.455944679,1,1,0,1,65,1643,49,3,85,2727,1570,32,1
5986815,1524145611,0.008088701,1,0,0,0,117,2403,47,1,50,1561,4856,28,0
6287387,1524145611,0,1,0,0,1,33,1603,33,1,101,1402,2677,51,0
15450240,1632526972,0.494655579,1,1,1,1,189,1474,84,1,83,1602,5198,52,1
6198077,1577375332,0,1,0,0,0,34,1725,73,2,79,971,2177,25,0
15450240,1527077543,0,1,1,0,1,92,3566,70,2,88,1458,3130,24,1
15450240,1655923593,0.010968745,1,0,0,1,64,3079,32,3,105,1647,4048,57,1
15450240,1660414411,0.520958432,1,1,1,1,124,1599,56,1,34,1770,5923,60,1
5468684,1524145611,0,1,0,0,1,30,880,63,2,30,1276,3225,22,0
6596411,1524145611,0.014218966,1,0,0,1,47,1563,78,3,55,1501,1793,0,0
5930708,1561371498,0,1,0,0,0,114,2581,67,3,100,2116,2590,29,0
7528945,1661999151,0,1,1,0,1,40,828,30,3,85,1023,3298,55,1
