BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
5697961,1527900715,0,1,0,0,1,55,1629,57,2,121,1663,3189,55,0
15450240,1654842303,0.515259842,1,1,1,1,107,2378,24,3,60,1626,3877,56,1
5645749,1528222648,0,1,0,0,0,36,1702,50,1,56,1116,1915,28,0
5606247,1524145611,0,1,0,0,0,80,922,59,3,50,2287,3949,25,0
5742142,1529368666,0.002916733,0,0,0,1,59,1656,49,1,64,1662,3793,26,0
6494741,1525334740,0,1,0,0,0,32,1023,46,3,69,1563,2302,0,0
6205338,1524145611,0,1,0,0,1,38,1465,3,2,70,1740,2902,30,0
5820102,1524145611,0,1,0,0,0,60,1492,46,1,77,1515,3262,53,0
15450240,1660424016,0.489523782,1,1,1,1,123,1129,70,1,95,1678,2769,55,1
5641593,1524145611,0,1,0,0,1,40,1341,73,1,83,1609,5590,25,0
5906030,1524269978,0,0,0,0,1,44,1178,47,2,87,1692,2785,0,0
15450240,1661999151,0.446203342,1,1,1,1,36,1257,85,1,117,1723,6276,55,1
15450240,1661999151,0,0,1,0,1,68,1579,47,2,94,2485,2714,57,0
6012442,1524875578,0,1,0,0,1,38,1380,49,3,96,1659,2997,0,0
6146519,1527848142,0.516087063,0,0,0,0,30,2365,45,1,56,923,1446,28,0
5898833,1524145611,0.019924702,1,0,0,0,75,1772,64,2,114,1633,1697,0,0
5468684,1524145611,0,1,0,0,1,112,1064,94,2,56,1972,2801,26,0
6656015,1529133722,0,1,0,0,1,30,1419,17,2,71,1218,1601,0,0
6359073,1524145611,0,1,0,0,0,61,1433,54,1,70,3011,1222,56,0
11944509,1648714106,0.441096001,1,1,1,1,104,1649,68,1,97,2552,5129,28,1
14233323,1524145611,0,1,0,0,1,70,1966,51,1,204,927,1831,57,1
5880709,1536971293,0,1,0,0,0,40,1668,48,2,129,1568,2672,27,0
14256060,1646087361,0.580513251,1,1,1,1,38,971,39,1,80,1633,4477,50,1
15450240,1657570953,0.555710063,1,1,1,1,113,1459,54,1,110,1569,6080,56,1
5721704,1524145611,0,0,0,0,1,52,1325,76,3,40,1566,1375,24,0
5827476,1544422505,0,1,0,0,1,108,1075,44,3,108,2532,5428,30,0
6136665,1524145611,0,1,0,0,1,36,1560,87,1,107,1631,2977,27,0
6043873,1531585456,0,0,0,0,1,30,1919,54,1,63,1527,3218,24,0
5998662,1526617572,0,1,0,0,1,63,1555,77,2,85,1448,2240,25,1
15450240,1525674865,0.00492871,1,1,0,1,102,1571,53,3,123,1248,3102,0,0
5468684,1524145611,0,1,0,0,1,40,1744,80,2,112,1255,3021,55,0
6483125,1527286291,0,0,0,0,1,46,1070,56,1,57,1475,1626,0,0
15379931,1646323804,0.483132668,1,1,1,1,117,1641,47,2,72,1428,4063,62,1
15450240,1651288286,0,1,0,1,1,42,1228,59,2,118,1577,3765,55,1
5911719,1524145611,0,1,0,0,0,65,1072,88,3,145,1572,4609,24,0
15450240,1656360874,0.532580671,1,1,1,1,83,1608,73,1,71,1458,4796,55,1
6325327,1524145611,0,1,0,0,1,58,2210,49,3,97,1517,2513,26,1
15450240,1634794303,0.498013806,1,1,1,1,113,2347,58,1,60,1555,4542,56,1
5677172,1524145611,0,1,1,0,1,107,1252,89,2,105,1000,1449,0,1
5499352,1524145611,0,1,0,0,0,36,988,67,1,98,1529,2103,55,0
6198061,1531110650,0.017016912,0,0,0,1,45,964,49,1,71,1650,4460,26,0
5689994,1528212635,0,0,0,0,1,83,1089,52,1,80,1556,1848,0,0
5834195,1526723079,0,1,0,0,1,68,2653,66,2,63,1701,2314,0,0
5497687,1529211145,0,0,0,0,1,44,1428,9,1,73,1461,3413,31,0
15450240,1641130093,0.48347101,1,1,1,1,88,2621,34,1,159,1341,2505,55,1
11870001,1614792031,0,1,0,0,1,34,1497,43,2,93,2404,5388,51,0
15450240,1649461948,0.553185886,1,1,1,1,120,2904,84,1,89,1447,5990,53,1
6576809,1524145611,0,1,0,0,0,55,1827,74,2,57,1637,3167,0,0
6316165,1660219605,0,0,0,0,1,40,851,44,3,53,1580,3354,56,0
5474861,1533413511,0,1,0,0,0,38,898,45,1,40,1600,2553,0,0
6143933,1524145611,0,1,0,0,0,31,1047,47,3,117,1554,2244,0,0
5468684,1524145611,0.00053295,1,1,1,1,71,899,76,3,127,1740,3323,29,0
15450240,1661999151,0,1,1,1,1,71,2732,54,3,100,1633,5821,58,1
15450240,1646500087,0.466602923,1,1,1,1,167,1554,34,1,80,2659,5248,65,1
15450240,1641145293,0.501152261,1,1,1,1,45,2808,73,1,122,1731,5647,56,1
13424304,1547338678,0.472982692,1,1,0,1,45,1514,69,2,105,1606,4819,54,0
6236464,1524145611,0,0,0,0,1,45,1536,68,1,67,3014,5051,27,0
