BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
5864750,1524264696,0.004825983,0,0,0,1,89,2995,72,2,94,1441,3580,53,0
15450240,1527558120,0,1,0,0,1,97,1080,46,2,93,1233,3003,0,0
5468684,1524145611,0.007330352,1,0,0,1,46,923,66,2,75,1715,3417,0,0
6025772,1524145611,0,1,0,0,1,41,1726,55,2,117,1515,2452,28,1
15450240,1648513840,0.470891151,1,1,1,1,89,1725,57,1,90,1502,3831,59,1
15450240,1657436690,0.484945194,1,1,1,1,104,1754,46,1,74,1385,5117,52,1
5997751,1526772999,0,1,0,0,0,110,1076,61,1,78,1474,3769,25,0
5784652,1524145611,0,1,0,0,0,60,1676,35,2,92,1511,3241,23,0
5505528,1524145611,0,1,0,1,1,69,1572,55,2,52,1591,2632,27,0
6203615,1534012462,0,1,0,0,1,30,1686,38,2,99,1523,5998,0,0
6369921,1531984180,0,1,0,0,1,33,1822,48,2,87,1421,3085,27,0
14313730,1526923748,0.003271862,1,1,1,1,47,1421,69,3,183,1558,6955,23,0
6057269,1524145611,0.412360718,1,0,0,1,56,1087,49,2,95,1514,2227,59,1
15450240,1649658965,0,1,0,0,1,96,1641,79,1,78,1654,3322,25,0
6058286,1524145611,0.010350928,0,0,0,1,70,1202,35,3,81,1574,3184,26,0
10671447,1524580692,0,0,0,0,1,45,786,63,2,117,1286,3941,54,0
15450240,1648065049,0.451393327,1,1,1,1,64,2307,54,1,65,1557,3621,0,1
15450240,1642379089,0.593406935,1,1,1,1,189,1006,57,1,30,1499,3294,61,1
6032783,1524145611,0,1,0,0,0,30,1141,67,2,41,1267,2965,58,0
15450240,1640656150,0.422488086,1,1,1,1,189,1627,71,1,88,3093,5626,54,1
6010423,1524293151,0,1,0,0,0,63,1562,54,2,68,1518,2947,0,0
15450240,1661999151,0.47607399,1,1,1,1,61,1096,68,1,92,1726,4483,62,1
