BlockHeight,UnixTimestamp,TxnFee(ETH),TxnFee (Binary),Status (Tags),Block Generation Rate,Stake Reward,Coin Stake,Stake Distribution Rate,Txnsize,Coin Days,Coin Age,Block Density (%),Block Score,Coin Day Weight,Node Label
5468684,1524145611,0,1,0,0,0,30,1064,48,2,90,1401,3599,0,0
5890418,1525897991,0,0,0,0,1,30,1567,60,3,75,1389,2938,0,0
5468684,1524552012,0,0,0,0,1,49,1063,64,3,93,1496,1794,0,0
15450240,1652349393,0.550223215,1,1,1,1,104,2690,84,1,108,2336,6081,59,1
6652485,1524145611,0.005335963,1,0,0,0,42,1045,45,2,99,1563,921,25,0
6187021,1524145611,0,1,0,0,0,36,1149,55,2,37,2397,1761,0,0
5468684,1526084294,0,1,0,0,1,30,633,74,2,43,1374,1334,27,0
15450240,1653002307,0,1,1,0,1,49,2714,46,2,124,1677,6661,25,0
5682904,1524145611,0,0,0,0,1,34,1617,32,3,63,1645,2436,1,0
15325328,1524145611,0.49550409,1,1,1,1,135,3850,56,1,143,1394,6125,23,1
15450240,1661999151,0.419297841,1,1,1,1,84,2521,67,1,102,1634,5954,53,1
5787090,1653972931,0,1,0,1,1,158,1026,40,1,82,1555,3459,30,1
6006479,1524145611,0,1,0,0,1,42,1430,81,2,74,1612,1829,23,0
5688199,1527300275,0,1,0,0,1,71,897,51,1,116,2391,3465,0,0
15450240,1526122644,0,1,0,0,1,43,1757,73,2,77,1515,1748,25,0
14100214,1653893004,0.437112686,1,1,1,1,101,1616,42,3,94,1537,3514,55,1
5620257,1646868278,0,1,0,0,1,43,3231,54,1,101,1515,921,22,0
6252750,1524579133,0,1,0,0,0,37,1577,65,2,105,1613,1583,28,0
5811194,1524145611,0,1,0,0,1,41,1004,81,2,59,1435,1571,26,0
15450240,1524145611,0.485771968,1,1,1,1,111,1166,63,2,91,1628,5026,26,1
6086288,1525621336,0.014013447,0,0,0,1,44,1662,54,2,52,1563,2264,28,0
